"Année,Train,TPR;Bateau";;
1990,12771.0,-,-;;
1995,11802.9,-,-;;
2000,12689.8,3427.8,-;;
2001,13362.9,3605.0,-;;
2002,14208.5,3665.5,-;;
2003,14572.0,3756.3,-;;
2004,14978.6,3780.5,-;;
2005,16209.8,3857.9,-;;
2006,16645.9,3888.6,-;;
2007,17502.1,3963.5,-;;
2008,17849.2,3819.6,155.5;;
2009,18642.4,3901.1,169.6;;
2010,19251.6,3986.9,154.4;;
2011,19548.8,4099.4,157.5;;
2012,19340.4,4212.2,168.1;;
2013,19525.2,4252.1,153.3;;
2014,20090.0,4315.6,150.2;;
2015,20474.8,4396.8,152.1;;
2016,20893.5,4479.1,152.3;;
2017,20953.1,4487.2,145.4;;
2018,20680.6,4498.2,159.5;;