Annee,Train,TPR,Bateau
1990,341659,-,10001
1995,297172,-,9984
2000,319308,1111505,11031
2001,315617,1125767,10955
2002,334034,1136239,10032
2003,356753,1147005,10955
2004,368782,1162369,11007
2005,400876,1175039,10960
2006,418052,1205397,11373
2007,444802,1250729,11177
2008,474382,1309850,11131
2009,484653,1348971,11827
2010,506306,1373763,10995
2011,526056,1408439,11500
2012,527895,1457287,11839
2013,554614,1488785,11002
2014,581274,1484516,11035
2015,601273,1506724,11213
2016,620009,1531426,11333
2017,626102,1535303,11373
2018,625168,1540816,12359